conf;price;time;rel_err
0001;1207;0.0014643920003436506;0.0
0001;3037;0.002545123003073968;0.0
1000;2256;0.0014161709987092763;0.0
1000;8360;0.001113277998229023;0.0
0001;3487;0.0010704610031098127;0.0
0100;3088;0.0012241889999131672;0.0
0010;6384;0.0020272029942134395;0.0
1110;4919;0.00226372700126376;0.0
0100;6540;0.001007458005915396;0.0
1000;1891;0.0016971949953585863;0.0
1000;11186;0.0014377089974004775;0.0
0010;3927;0.001886516998638399;0.0
1000;10802;0.0007337579954764806;0.0
0001;4267;0.0019294660014566034;0.0
0100;12485;0.00029953000193927437;0.0
1000;3076;0.002768881997326389;0.0
1000;5474;0.0008783250013948418;0.0
0010;4834;0.0017474780033808202;0.0
1000;7649;0.0009176040039164945;0.0
0100;1630;0.000982423996902071;0.0
0010;6232;0.0008729450055398047;0.0
0100;3855;0.001666201998887118;0.0
0001;10120;0.0007714570019743405;0.0
0001;5446;0.001971659999981057;0.0
0010;3611;0.000910431997908745;0.0
0010;6193;0.0021136069990461692;0.0
0001;9277;0.0008085119989118539;0.0
0010;177150;0.000562308996450156;0.0
1000;4404;0.001179665996460244;0.0
0010;1681;0.001741818996379152;0.0
0010;4126;0.0020412739977473393;0.0
0001;3541;0.002005483998800628;0.0
0001;3493;0.0011481190013000742;0.0
0001;7223;0.0015804100039531477;0.0
0100;3508;0.0018980060049216263;0.0
0010;6943;0.0017457529975217767;0.0
0100;4096;0.001989982003578916;0.0
1000;6970;0.0015410960040753707;0.0
0001;6737;0.0018672789956326596;0.0
0010;4362;0.0018984740017913282;0.0
0001;8816;0.0007791450043441728;0.0
0001;2439;0.0004887640025117435;0.0
1000;8430;0.0007665859957342036;0.0
0100;3770;0.0010846299992408603;0.0
1000;1354;0.00238643500051694;0.0
0100;4864;0.0003245670013711788;0.0
0010;2188;0.002040676998149138;0.0
0010;3538;0.0018871959982789122;0.0
0010;4286;0.0011798049963545054;0.0
0100;1870;0.002338621001399588;0.0
