conf;price;weight;time;complexity;optimal
100100000100000;4823;213;0.0007756839986541308;31;True
010000000000000;1898;27;0.0001446250025765039;5;True
000000001000000;7010;297;0.0012851719948230311;68;True
100000010001000;5814;236;0.001242842998181004;77;True
000000001000000;2128;176;0.00020397700427565724;10;True
000000000001000;2666;8;8.661400352139026e-05;3;True
010000000000000;3598;134;0.00026220599829684943;10;True
000000000100000;3567;134;0.00024214599397964776;13;True
000000000000010;1852;61;9.394499647896737e-05;3;True
001001000110001;9085;661;0.008074979996308684;826;True
000000001000000;3372;72;0.00013879100151825696;5;True
000000010000000;6445;265;0.0014779330012970604;74;True
000000000000001;6520;109;0.00024711599689908326;13;True
000000000100000;3158;148;0.00012698300270130858;5;True
000010000000000;2881;26;9.484800102654845e-05;3;True
000000000100000;2462;71;0.00010799000301631168;4;True
100000000000000;4575;45;0.00013823799963574857;4;True
001101001001010;6480;605;0.0066972100030398;402;True
000000000010000;2504;73;0.00016690100164851174;5;True
000001001000100;6229;404;0.002198864000092726;194;True
000100001001010;5147;105;0.0002582020024419762;18;True
001010101000000;5741;204;0.001271788998565171;61;True
100000000000000;7198;327;0.0007405549986287951;31;True
000000100000000;8490;227;0.00030821399559499696;11;True
000001010010001;5675;430;0.0021599200044875033;148;True
000100000000000;11557;274;0.0014979440020397305;92;True
000000000000100;2703;87;0.00017725200450513512;7;True
000000000000100;5460;30;7.784699846524745e-05;3;True
010000000000000;3923;52;0.00022244799765758216;9;True
000000000000010;2982;47;9.033599781105295e-05;3;True
000000100000000;2200;23;9.447000047657639e-05;3;True
010000000000000;4139;118;0.00012853799853473902;5;True
000000000000001;2521;76;0.0001568849984323606;7;True
000000000000010;4579;82;0.00022515800083056092;15;True
010000000000000;6668;16;0.0001284240061067976;3;True
000010000000000;2736;19;8.309199620271102e-05;2;True
000000000000001;5700;114;0.0001198150057462044;9;True
111001110000000;7450;345;0.004105032996449154;197;True
000000000000010;4150;41;7.895300223026425e-05;4;True
000000000010000;4434;81;0.00014597799599869177;6;True
000000000010000;8021;473;0.002082925995637197;121;True
000000000000100;9612;255;0.0017989039988606237;128;True
000000000010000;2320;177;0.00020074599888175726;9;True
100000000000000;21144;84;0.00010196000221185386;2;True
000000000000010;4980;140;0.000583434994041454;30;True
000000000100000;5396;400;0.002535601997806225;268;True
000000100000000;2984;36;0.00011823200475191697;3;True
000100000000000;2886;99;0.000250710996624548;7;True
000000010000000;2787;146;0.00011110400373581797;4;True
010001001000011;7802;323;0.0016188820009119809;90;True
000000000000001;1300;20;7.010799890849739e-05;4;True
000000000010000;3574;31;7.003200153121725e-05;3;True
000000010000000;3347;88;0.0001796970027498901;6;True
000000000000100;4062;112;0.0001858850009739399;9;True
000000000100000;3393;58;0.00013305800530361012;5;True
000000010000000;3934;191;0.0012163420033175498;55;True
000010000000000;4891;63;0.00011928399908356369;4;True
010000000000000;4737;95;0.00036351300514070317;27;True
010000000000000;4402;146;0.00024285899417009205;11;True
010000000000000;5588;298;0.0009735239946166985;57;True
101001100000110;8350;522;0.00458906999847386;304;True
111011100010010;11384;575;0.018583693003165536;2927;True
000000000000001;4851;373;0.0017036880017258227;132;True
000000001000000;5920;10;7.009799446677789e-05;2;True
100001010000000;4791;263;0.0015259079955285415;101;True
000000000000001;4136;206;0.0004514270040090196;36;True
100000000000000;7150;168;0.0006416620017262176;37;True
000000100000000;9424;157;0.0007707159966230392;48;True
000001000000000;5587;355;0.0016312970037688501;117;True
101000000001101;7181;103;0.0006973079944145866;39;True
000001001010010;6686;211;0.0007946790065034293;48;True
000001000000000;3477;146;0.0006186570026329719;27;True
000000000000100;5329;91;8.00159978098236e-05;3;True
000000010000000;4151;76;0.00014184400060912594;5;True
000000110010001;5023;201;0.0009188559997710399;49;True
