conf;price;weight;time;complexity;optimal
010111001011111;13383;856;0.016993472003377974;19855;True
111011111001011;16649;919;0.020354997002868913;24353;True
000111011111101;16292;1267;0.017275946003792342;19482;True
010110000010100;7638;280;0.00042411000322317705;237;True
111111111111011;18175;1642;0.025920987995050382;32765;True
100100000100000;4823;213;0.00011043199629057199;41;True
111100111111101;19142;1325;0.02567443600128172;31711;True
111111111111101;20554;1643;0.027694972995959688;32631;True
101111111111111;19936;1711;0.02633256999979494;32753;True
111111111111110;18198;1828;0.027123628002300393;32724;True
110001000001001;7079;450;0.0013080110002192669;927;True
110011010011100;11960;827;0.009903466001560446;8168;True
111111001011111;17760;1280;0.028324432001682;32130;True
111001101111111;14958;1065;0.02329901800112566;28098;True
000000000000100;633;9;1.3980003132019192e-05;4;True
111011100010101;13365;1183;0.016991406002489384;19625;True
000000101000010;6084;269;0.0002554729944677092;138;True
100111101101001;13735;1266;0.016249261003395077;18601;True
111111111111100;18478;1442;0.02613120200112462;32460;True
101111100111110;18705;1491;0.025454700000409503;30210;True
111111101111111;18689;1469;0.026255381999362726;32720;True
011001110011001;12365;458;0.004543882998405024;3550;True
011100111110110;16774;871;0.014232057001208887;15872;True
111101111001001;14864;922;0.016297711001243442;17413;True
011010111010101;13565;867;0.011978096001257654;12807;True
101001001111111;14756;552;0.00718041299842298;7791;True
110001011010001;10468;431;0.0018712200035224669;1509;True
101111111011100;15738;1495;0.025443856000492815;30824;True
101111011111110;19972;1085;0.025529913997161202;31228;True
111011110111011;16148;1603;0.02545115000248188;30932;True
111011011111100;16020;1340;0.024251075999927707;26731;True
000100001010111;10617;405;0.0012421860010363162;1160;True
000000000000000;0;0;6.205998943187296e-06;1;True
100011101111000;17001;688;0.0075814659940078855;6159;True
001001111001111;14872;659;0.011793761994340457;13096;True
011010000001100;10645;274;0.0004137939977226779;281;True
010100110110111;15789;782;0.015359680000983644;14950;True
101001000100000;8049;113;0.00020794200099771842;77;True
111000000100011;10259;501;0.0037508579989662394;2955;True
111000011111111;18306;1229;0.020552223999402486;23512;True
111111111110101;17431;1411;0.025912691999110393;32360;True
110001100000101;9945;400;0.0017466049976064824;1187;True
111111111111101;17653;1584;0.02670362400385784;32759;True
000000011001110;9670;650;0.003865002996462863;3242;True
000010101101100;9343;653;0.004339500002970453;3376;True
111101111111111;14049;1839;0.026670060004107654;32764;True
011111111111111;20707;1218;0.026225478999549523;32757;True
100000010001000;5814;236;0.0002610990050015971;122;True
111111000001111;16613;995;0.02298976999736624;21938;True
101101101011001;14306;1308;0.01991504799661925;20711;True
101111011111111;19732;1220;0.027364932000637054;31606;True
110010010110011;12958;907;0.01668622199940728;16341;True
110110010101101;12993;828;0.013140353999915533;12478;True
001001000111001;11330;543;0.0054790110007161275;4205;True
101111111000110;17675;1120;0.02382147000025725;26904;True
110100101111010;16362;944;0.015016668003227096;15561;True
011011111010011;13005;1175;0.021397837001131848;21808;True
001000000000000;1926;175;3.402700531296432e-05;11;True
000001000000000;2000;6;1.001299824565649e-05;2;True
100101010001010;9365;592;0.004350688002887182;3645;True
111111110111101;15023;1374;0.029724479994911235;31936;True
111111111111110;21688;1534;0.027985286003968213;32755;True
010010100000100;7478;471;0.0011388459970476106;698;True
001011010110101;11989;1126;0.017014208999171387;16962;True
001110011110011;12577;715;0.012429044996679295;13397;True
100001000100001;4845;104;9.913399844663218e-05;61;True
011100100100101;11439;827;0.007526481997047085;7817;True
111100010110100;15565;1054;0.015449257000000216;15374;True
100001101100100;9301;502;0.0031226859937305562;2268;True
111110111010001;15262;1259;0.020382891001645476;23447;True
101100001100011;10735;650;0.0033256629976676777;3255;True
101111001101101;14892;1177;0.02201983199483948;24532;True
100100011011110;12029;736;0.009142763003183063;10082;True
100001100011010;8464;374;0.001061063005181495;763;True
101100001000001;8363;219;0.0006255390035221353;293;True
111010111101111;19868;1159;0.025054842997633386;29741;True
000100000001100;4268;156;8.822800009511411e-05;35;True
111111111101111;17700;1592;0.028043457998137455;32720;True
110111111111101;17520;1879;0.027036927996960003;32715;True
001000011110001;9776;407;0.0022270690024015494;1464;True
111101011100111;16423;1439;0.025738699005160015;30235;True
111111011111111;19080;1242;0.03127530599886086;32748;True
111111101111110;19264;1570;0.026099357004568446;32573;True
111111111101011;17301;1151;0.026963979995343834;31547;True
